ID_FONOGRAMA_COLETIVO,ID_FONOGRAMA,ID_COLETIVO
1,2,72
2,3,106
3,7,279
4,14,331
5,15,357
6,16,429
7,23,567
8,28,580
9,29,486
10,30,636
11,36,872
12,38,986
13,41,1030
14,42,1077
15,42,1076
16,43,1076
17,44,1076
18,45,1076
19,46,1076
20,47,1076
21,48,1076
22,49,1076
23,50,1076
24,51,1076
25,55,1405
26,56,1405
27,57,1412
28,70,1600
29,71,1600
30,73,1652
31,77,1600
32,78,1600
33,79,1600
34,80,1600
35,82,1848
36,83,1919
37,84,1921
38,87,1972
39,88,1972
40,91,2027
41,92,2060
42,94,2094
43,96,2262
44,97,2262
45,98,2262
46,99,2482
47,100,2482
48,101,2484
49,102,2500
50,103,2554
51,104,2582
52,106,2589
53,111,2610
54,113,2610
55,114,2637
56,116,2658
57,118,2696
58,119,2700
59,120,2708
60,121,1418
61,122,2832
62,131,2937
63,132,2941
64,133,2486
65,136,2941
66,137,2949
67,138,567
68,167,2696
69,267,3282
70,268,3282
71,269,3282
72,270,3282
73,271,3282
74,272,3282
75,273,3282
76,274,3282
77,275,3320
78,276,3282
79,277,3282
80,278,3282
81,279,3282
82,280,3282
83,281,3282
84,282,3282
85,283,3282
86,284,3282
87,285,3282
88,286,3282
89,321,3552
90,322,3552
91,323,3552
92,324,3552
93,325,3552
94,326,3552
95,327,3552
96,328,3552
97,329,3552
98,330,3552
99,331,3552
100,332,3552
101,333,3552
102,336,3569
103,337,3569
104,338,3569
105,339,3569
106,340,3569
107,341,3569
108,342,3569
109,343,3569
110,344,3569
111,345,3569
112,346,3569
113,347,3569
114,348,3663
115,349,3663
116,350,3727
117,351,3727
118,352,3727
119,353,3727
120,354,3727
121,355,3727
122,356,3805
123,357,3805
124,358,3805
125,359,3805
126,360,3894
127,361,3894
128,362,3894
129,363,3894
130,364,3894
131,365,3894
132,366,3894
133,367,3894
134,368,3894
135,369,3894
136,370,3894
137,371,3894
138,372,3894
139,373,3894
140,374,3894
141,375,3894
142,376,3894
143,377,3894
144,378,3894
145,379,3894
146,380,3894
147,381,3894
148,382,3894
149,383,3894
150,384,3894
151,385,3894
152,386,3894
153,387,3894
154,388,3894
155,389,3894
156,390,567
157,391,3663
158,393,4031
159,394,4034
160,415,4482
161,416,4482
162,417,4482
163,418,3663
164,419,4482
165,420,4482
166,421,4482
167,422,4482
168,423,4482
169,424,4482
170,425,4482
171,426,4482
172,427,4482
173,428,4482
174,430,4544
175,431,4544
176,432,4544
177,433,4544
178,434,4544
179,435,4544
180,436,4544
181,437,4544
182,438,4544
183,439,4544
184,440,4544
185,441,4544
186,442,4544
187,445,4592
188,446,4592
189,447,4593
190,449,1663
191,455,4601
192,479,4699
193,496,4711
194,497,4712
195,498,4713
196,499,4714
197,500,4715
198,501,4716
199,502,4717
200,503,4716
201,504,4718
202,505,4712
203,506,4719
204,507,4722
205,508,4719
206,509,4712
207,510,4712
208,511,4719
209,512,4719
210,513,4719
211,514,4719
212,515,4719
213,516,4764
214,517,4719
215,518,4770
216,519,4792
217,520,4799
218,521,4814
219,522,4817
220,523,4827
221,524,4837
222,525,4846
223,526,4862
224,527,4874
225,528,4875
226,529,4878
227,530,4879
228,531,4880
229,532,4908
230,533,4910
231,534,4922
232,535,4951
233,536,4827
234,537,4846
235,538,1412
236,539,5075
237,540,1412
238,541,1412
239,542,1412
240,542,4886
241,543,1412
242,544,1412
243,545,1412
244,546,1412
245,547,1412
246,548,1412
247,549,1412
248,550,1417
249,551,1416
250,552,5075
251,553,1412
252,554,5145
253,569,5146
254,570,5146
255,571,5146
256,572,5146
257,573,5146
258,574,5146
259,575,5146
260,576,358
261,577,358
262,578,358
263,579,358
264,580,358
265,581,358
266,582,358
267,583,358
268,584,5146
269,585,5237
270,590,2700
271,591,2700
272,592,5243
273,593,5243
274,594,5243
275,595,5243
276,596,5243
277,597,5243
278,598,5243
279,599,5243
280,600,5243
281,601,5243
282,602,5243
283,603,5243
284,604,5243
285,605,2700
286,606,2700
287,607,1408
288,608,2700
289,609,2700
290,610,2700
291,611,2700
292,612,2700
293,613,2700
294,614,2700
295,615,2700
296,616,2700
297,617,2700
298,618,2700
299,632,5295
300,633,5295
301,634,5295
302,635,5295
303,636,5295
304,637,5295
305,638,5295
306,639,5295
307,640,5295
308,641,5295
309,642,5295
310,643,5295
311,644,5295
312,645,5295
313,646,5295
314,647,5295
315,648,5295
316,658,5477
317,697,5906
318,698,5906
319,699,5906
320,700,5906
321,701,5906
322,702,5906
323,703,5906
324,704,5906
325,705,5906
326,706,5906
327,707,5906
328,755,5997
329,756,5997
330,785,3670
331,787,215
332,788,6124
333,824,6633
334,825,6633
335,826,6633
336,827,6633
337,828,6633
338,829,6633
339,830,6633
340,831,6633
341,832,6633
342,833,6633
343,834,6633
344,835,6633
345,836,6633
346,837,6633
347,900,6739
348,914,6830
349,986,6657
350,987,6657
351,988,6657
352,989,6657
353,990,6657
354,991,6657
355,992,6657
356,1007,7016
357,1015,7048
358,1016,7048
359,1064,7161
360,1078,7232
