id_genero,nome,dt_inclusao,dt_alteracao,is_deleted,usuario,cod_genero
162,"CALYPSO","09/08/15 12:14:39",,0,"ECAD",162
163,"CATOLICO","09/08/15 12:14:39",,0,"ECAD",163
164,"MARACATU","09/08/15 12:14:39",,0,"ECAD",164
165,"HARDCORE","09/08/15 12:14:39",,0,"ECAD",165
166,"WORLD MUSIC","09/08/15 12:14:39",,0,"ECAD",166
167,"ELECTRONIC","09/08/15 12:14:39",,0,"ECAD",167
168,"PUNK ROCK","09/08/15 12:14:39",,0,"ECAD",168
169,"OUTROS","09/08/15 12:14:39",,0,"ECAD",169
170,"POEMA","09/08/15 12:14:39",,0,"ECAD",170
171,"HUMOR","09/08/15 12:14:39",,0,"ECAD",171
172,"INFANTIL","09/08/15 12:14:39",,0,"ECAD",172
173,"ROCK POP","09/08/15 12:14:39",,0,"ECAD",173
174,"ROCK POP","09/08/15 12:14:39",,0,"ECAD",174
175,"BREGA","09/08/15 12:14:39",,0,"ECAD",175
176,"FREAK BOSSA","09/08/15 12:14:39",,0,"ECAD",176
177,"CHAMAME","09/08/15 12:14:39",,0,"ECAD",177
178,"AFOXE","09/08/15 12:14:39",,0,"ECAD",178
179,"CAPOEIRA","09/08/15 12:14:39",,0,"ECAD",179
180,"ERUDITA","09/08/15 12:14:39",,0,"ECAD",180
181,"HOURE MIX","09/08/15 12:14:39",,0,"ECAD",181
182,"JUNGLE MIX","09/08/15 12:14:39",,0,"ECAD",182
183,"VERGALHAO","09/08/15 12:14:39",,0,"ECAD",183
184,"OVINHO","09/08/15 12:14:39",,0,"ECAD",184
185,"TON-TONS","09/08/15 12:14:39",,0,"ECAD",185
186,"AFRO REGGAE","09/08/15 12:14:39",,0,"ECAD",186
187,"HIP HOP","09/08/15 12:14:39",,0,"ECAD",187
188,"NEW AGE","09/08/15 12:14:39",,0,"ECAD",188
189,"AMBIENT","12/03/19 19:48:20",,0,"ECAD",189
190,"DRONE","12/03/19 19:48:20",,0,"ECAD",190
191,"EXPERIMENTAL","12/03/19 19:48:20",,0,"ECAD",191
192,"ARROCHA","03/10/21 15:04:20",,0,"ECAD",192
193,"PISADINHA","03/10/21 15:04:20",,0,"ECAD",193
194,"VANERA","03/10/21 15:04:20",,0,"ECAD",194
195,"CONGADA","08/11/22 17:57:03",,0,"ECAD",195
196,"INDIE","03/08/23 11:53:53",,0,"ECAD",196
197,"SAMBALANÇO","03/08/23 11:53:53",,0,"ECAD",197
